id,code,name,category_code,price,image,tax,cost,tax_method,quantity,barcode_symbology,type,details,alert_quantity
89,888800000000,E80,0,20,,0,0,1,1,ean13,standard,1 BLUSA INVERNO 8,20
90,250112000000,EQ01,0,50,,0,0,1,68,ean13,standard,1 BLUSA ESTAMPA 8,20
91,240112000000,EQ02,0,45,,0,0,1,52,ean13,standard,1 BLUSA ESTAMPA 8,20
92,240112000000,EQ03,0,50,,0,0,1,72,ean13,standard,1 BLUSA ESTAMPA 8,20
93,255112000000,EQ04,0,50,,0,0,1,32,ean13,standard,1 BLUSA ESTAMPA 8,20
94,280112000000,EQ05,0,50,,0,0,1,42,ean13,standard,1 BLUSA ESTAMPA 8,20
95,310112000000,EQ06,0,55,,0,0,1,10,ean13,standard,1 BLUSA LISA 8,20
96,315112000000,EQ07,0,55,,0,0,1,0,ean13,standard,1 BLUSA LISA 8,20
97,290112000000,EQ08,0,55,,0,0,1,49,ean13,standard,1 BLUSA LISA 7,20
98,138202000000,FL302,0,40,,0,0,1,2,ean13,standard,1 MANGA LONGA LÃ 7,20
99,138202000000,FL310,0,25,,0,0,1,2,ean13,standard,1 BLUSA 7,20
100,210070000000,FP02,0,40,,0,0,1,22,ean13,standard,2 BLUSA M/C LAÇO LATERAL 8,20
101,48085410005,FR05,0,40,,0,0,1,2,ean13,standard,2 VESTIDO LONGO 8,20
102,45585410005,FR05,0,40,,0,0,1,2,ean13,standard,2 VESTIDO LONGO 8,20
103,45085410006,FR06,0,35,,0,0,1,30,ean13,standard,2 VESTIDO BORDADO 8,20
104,52585410007,FR07,0,40,,0,0,1,1,ean13,standard,2VESTIDO LONGO 8,20
105,300076000000,FW02,0,40,,0,0,1,33,ean13,standard,2 SAIA 8,20
106,300076000000,FW04,0,35,,0,0,1,14,ean13,standard,2 SAIA COM STRASS NA LATERAL 8,20
107,260096000000,FW06,0,35,,0,0,1,14,ean13,standard,2 SAIA 8,20
108,340106000000,FW07,0,65,,0,0,1,29,ean13,standard,1 CALÇA 8,20
109,320116000000,FW08,0,65,,0,0,1,28,ean13,standard,1 CALÇA 7,20
