id,code,name,category_code,price,image,tax,cost,tax_method,quantity,barcode_symbology,type,details,alert_quantity
362,250115600214,MD214,7,50,,0,1,1,78,ean13,standard,1 BLUSA LISA 7,2
363,275115600215,MD215,7,50,,0,1,1,0,ean13,standard,1 BLUSA LISA 7,2
364,245115600216,MD216,7,50,,0,1,1,0,ean13,standard,1 BLUSA MANGA LONGA 7,2
365,285115600217,MD217,7,50,,0,1,1,0,ean13,standard,1 BLUSA MANGA LONGA 7,2
366,280115600218,MD218,7,50,,0,1,1,46,ean13,standard,1 BLUSA ESTAMPA 7,2
367,260115600219,MD219,8,45,,0,1,1,0,ean13,standard,1 BLUSA ESTAMPADA 8,2
368,265115600220,MD220,7,50,,0,1,1,64,ean13,standard,1 BLUSA LISA7,2
369,295115600221,MD221,8,50,,0,1,1,0,ean13,standard,1 BLUSA MANGA LONGA 8,2
370,295115600222,MD222,8,55,,0,1,1,0,ean13,standard,1 BLUSA LISA 8,2
371,285115600223,MD223,8,50,,0,1,1,0,ean13,standard,1 BLUSA ESTAMPA 8,2
372,285115600224,MD224,8,55,,0,1,1,0,ean13,standard,1 BLUSA LISA 8,2
373,240115600225,MD225,7,45,,0,1,1,0,ean13,standard,1 BLUSA MANGA LONGA 7,2
374,240115600226,MD226,7,45,,0,1,1,0,ean13,standard,1 BLUSA ESTAMPADA 7,2
375,255115600227,MD227,8,50,,0,1,1,0,ean13,standard,1 BLUSA MANGA LONGA 8,2
376,225115600229,MD229,7,45,,0,1,1,0,ean13,standard,1 BLUSA MANGA LONGA 7,2
377,260115600230,MD230,7,50,,0,1,1,0,ean13,standard,1 BLUSA LISA 7,2
378,260115600231,MD231,8,45,,0,1,1,0,ean13,standard,1 BLUSA LISA 8,2
379,235125600232,MD232,8,45,,0,1,1,32,ean13,standard,1 BLUSA ESTAMPA 8,2
380,320125600234,MD234,8,55,,0,1,1,0,ean13,standard,1 BLUSA LISA 8,2
381,250125600235,MD235,8,45,,0,1,1,0,ean13,standard,1 BLUSA ESTAMPADA 8,2
382,300125600236,MD236,8,55,,0,1,1,0,ean13,standard,1 BLUSA LISA 8,2
383,320125600237,MD237,8,55,,0,1,1,0,ean13,standard,1 BLUSA LISA 8,2
384,315125600240,MD240,8,50,,0,1,1,0,ean13,standard,1 BLUSA ESTAMPADA 8,2
385,200125600241,MD241,7,45,,0,1,1,0,ean13,standard,1 BLUSA ESTAMPADA 7,2
386,240125600242,MD242,7,45,,0,1,1,0,ean13,standard,1 BLUSA ESTAMPADA 7,2
387,280075600026,MD26,8,30,,0,1,1,0,ean13,standard,2 BLUSA LISA 8,2
388,205065600271,MD271,8,40,,0,1,1,1,ean13,standard,2 BLUSA LISA REGATA ALCA TRANCADA 8,2
389,209065600272,MD272,8,40,,0,1,1,33,ean13,standard,2 BLUSA LISA OMBRO VAZADO 8,2
390,197065600273,MD273,8,30,,0,1,1,29,ean13,standard,2 BLUSA REGATA ALCA TRANCADA 8,2
391,255065600279,MD279,8,40,,0,1,1,32,ean13,standard,2 BLUSA CORTE V 8,2
392,233065600280,MD280,7,35,,0,1,1,15,ean13,standard,2 BLUSA LISA MANGA CURTA 7,2
393,207065600281,MD281,7,35,,0,1,1,32,ean13,standard,2 BLUSA LISA MANGA CURTA 7,2
394,240065600290,MD290,8,40,,0,1,1,11,ean13,standard,2 BLUSA LISA OMBRO A OMBRO 8,2
395,220065600293,MD293,8,30,,0,1,1,67,ean13,standard,2 BLUSA LISA MANGA CURTA 8,2
396,203065600294,MD294,8,30,,0,1,1,32,ean13,standard,2 BLUSA LISA OMBRO VAZADO 8,2
397,183065600295,MD295,8,35,,0,1,1,2,ean13,standard,2 BLUSA LISA ALCA FINA 8,2
398,246065600296,MD296,8,40,,0,1,1,22,ean13,standard,2 BLUSA LISA MANGA CURTA 8,2
399,222065600297,MD297,8,25,,0,1,1,115,ean13,standard,2 BLUSA LISA OMBRO ALTERNADO 8,2
400,219065600298,MD298,8,30,,0,1,1,102,ean13,standard,2 BLUSA LISA MANGA CURTA 8,2
401,234065600300,MD300,8,30,,0,1,1,37,ean13,standard,2 BLUSA LISA OMBRO VAZADO 8,2
402,231065600306,MD306,8,30,,0,1,1,54,ean13,standard,2 BLUSA LISA OMBRO VAZADO 8,2
403,368055600317,MD317,8,75,,0,1,1,4,ean13,standard,2 VESTIDO CIGANINHA LISO 8,2
404,407065600321,MD321,8,85,,0,1,1,24,ean13,standard,2 VESTIDO LISO MANGA PRINCESA 8,2
405,370065600322,MD322,8,75,,0,1,1,40,ean13,standard,2 MACAQUINHO LISO MANGA BUFANTE 8,2
406,223065600323,MD323,8,30,,0,1,1,51,ean13,standard,2 BLUSA LISA CORTE V MANGA BUFANTE 8,2
407,203065600326,MD326,8,25,,0,1,1,23,ean13,standard,2 BLUSA LISA OMBRO ALTERNADO 8,2
408,210065600327,MD327,8,25,,0,1,1,97,ean13,standard,2 BLUSA LISA OMBRO ALTERNADO 8,2
409,195065600328,MD328,8,25,,0,1,1,64,ean13,standard,2 BLUSA LISA MANGA BUFANTE 8,2
410,227075600331,MD331,8,25,,0,1,1,139,ean13,standard,2 BLUSA LISA OMBRO ALTERNADO 8,2
411,445075600332,MD332,8,90,,0,1,1,18,ean13,standard,2 MACACAO PANTACOURT DE ALCINHA 8,2
412,380075600335,MD335,8,75,,0,1,1,11,ean13,standard,2 VESTIDO LISO ALCINHA 8,2
413,192075600345,MD345,8,85,,0,1,1,0,ean13,standard,2 CONJUNTO BLUSA E SHORTS 8,2
414,212075600345,MD345,8,85,,0,1,1,0,ean13,standard,2 CONJUNTO BLUSA E SHORTS 8,2
415,265085600079,MD79,8,30,,0,1,1,0,ean13,standard,2 BLUSA LISA 8,2
416,290105600097,MD97,8,50,,0,1,1,0,ean13,standard,1 BLUSA 8,2
417,285095600098,MD98,8,50,,0,1,1,0,ean13,standard,1 BLUSA 8,2
418,600125200001,ML01,8,35,,0,1,1,10,ean13,standard,1 COLETE 8,2
419,600125200010,ML01,8,35,,0,1,1,10,ean13,standard,1 COLETE 8,2
420,650125200012,ML12,8,35,,0,1,1,5,ean13,standard,1 COLETE 8,2
421,670125200013,ML13,8,35,,0,1,1,0,ean13,standard,1 COLETE 8,2
422,640125200013,ML13,8,35,,0,1,1,0,ean13,standard,1 COLETE 8,2
423,240075200153,ML153,8,20,,0,1,1,0,ean13,standard,2 BLUSA ESTAMPA 8,2
424,230075200161,ML161,8,25,,0,1,1,0,ean13,standard,2 BLUSA ESTAMPA 8,2
425,480075200164,ML164,8,60,,0,1,1,38,ean13,standard,1 MACACAO REGATA GOLA V 8,2
426,400105200173,ML173,8,85,,0,1,1,13,ean13,standard,1 MACACAO 8,2
427,260105200174,ML174,7,50,,0,1,1,7,ean13,standard,1 BLUSA 7,2
428,430105200175,ML175,8,85,,0,1,1,146,ean13,standard,1 MACACAO ESTAMPA 8,2
429,240105200177,ML177,7,45,,0,1,1,35,ean13,standard,1 BLUSA 7,2
430,235105200178,ML178,7,45,,0,1,1,6,ean13,standard,1 BLUSA LISA 7,2
431,220105200180,ML180,7,50,,0,1,1,73,ean13,standard,1 BLUSA 7,2
432,420105200181,ML181,7,85,,0,1,1,25,ean13,standard,1 CHAMISIE 7,2
433,270105200182,ML182,8,50,,0,1,1,24,ean13,standard,1 BLUSA ESTAMPA 8,2
434,210105200183,ML183,8,45,,0,1,1,66,ean13,standard,1 BLUSA ESTAMPA 8,2
435,235105200184,ML184,8,45,,0,1,1,0,ean13,standard,1 BLUSA 8,2
436,270105200185,ML185,8,50,,0,1,1,0,ean13,standard,1 BLUSA 8,2
437,225105200186,ML186,8,50,,0,1,1,11,ean13,standard,1 BLUSA 8,2
438,210105200187,ML187,8,45,,0,1,1,74,ean13,standard,1 BLUSA 8,2
439,440105200188,ML188,7,90,,0,1,1,36,ean13,standard,1 CHEMISE LISA 7,2
440,420105200189,ML189,7,85,,0,1,1,0,ean13,standard,1 MACAQUINHO MANGA LONGA 7,2
441,420105200190,ML190,7,85,,0,1,1,0,ean13,standard,1 MACAQUINHO MANGA LONGA 7,2
442,435105200191,ML191,8,90,,0,1,1,0,ean13,standard,1 MACAQUINHO MANGA LONGA 8,2
443,425105200192,ML192,8,90,,0,1,1,76,ean13,standard,1 MACACAO LISO 8,2
444,295115200193,ML193,8,50,,0,1,1,0,ean13,standard,1 BLUSA MANGA LONGA 8,2
445,260105200195,ML195,7,45,,0,1,1,104,ean13,standard,1 BLUSA 7,2
446,300105200196,ML196,8,50,,0,1,1,29,ean13,standard,1 BLUSA 8,2
447,420105200197,ML197,7,85,,0,1,1,162,ean13,standard,1 VESTIDO ESTAMPA 7,2
448,420105200198,ML198,7,85,,0,1,1,0,ean13,standard,1 MACAQUINHO MANGA LONGA 7,2
449,480105200199,ML199,8,110,,0,1,1,72,ean13,standard,1 MACACAO LISO 8,2
450,480105200200,ML200,8,100,,0,1,1,0,ean13,standard,1 CACACAO MANGA LONGA 8,2
451,260115200204,ML204,7,50,,0,1,1,87,ean13,standard,1 BLUSA 7,2
452,420115200209,ML209,7,100,,0,1,1,115,ean13,standard,1 MACACAO LISO 7,2
453,430115200211,ML211,8,90,,0,1,1,41,ean13,standard,1 VESTIDO LISO 8,2
454,420115200216,ML216,7,90,,0,1,1,77,ean13,standard,1 VESTIDO LISO 7,2
455,420115200217,ML217,8,90,,0,1,1,0,ean13,standard,1 VESTIDO MANGA LONGA 8,2
456,435115200219,ML219,7,100,,0,1,1,83,ean13,standard,1 MACACAO ESTAMPA 7,2
457,61012520022,ML22,8,35,,0,1,1,0,ean13,standard,1 COLETE 8,2
