Code,Name,Purchase Price,Tax,Retail Price,Category Code
ZN176,2 VESTIDO BORDADO 8,50,0,1,50
ZN173,2 VESTIDO BORDADO 8,50,0,1,50
ZN171,2 VESTIDO BORDADO 8,50,0,1,50
ZN170,2 VESTIDO BORDADO 8,50,0,1,50
ZN17,2 VESTIDO BORDADO 8,50,0,1,50
ZN168,2 VESTIDO BORDADO 8,50,0,1,50
ZN167,2 VESTIDO BORDADO 8,50,0,1,50
ZN16,2 VESTIDO BORDADO 8,50,0,1,50
ZN156,2 VESTIDO DE 8,50,0,1,50
ZN155,2 VESTIDO DE 8,50,0,1,50
ZN153,2 VESTIDO DE 8,50,0,1,50
ZN152,2 VESTIDO DE 8,50,0,1,50
ZN150,2 VESTIDO DE 8,50,0,1,50
ZN15,2 VESTIDO DE 8,50,0,1,50
ZN148,2 VESTIDO BORDADO 8,50,0,1,50
ZN146,2 VESTIDO BORDADO 8,50,0,1,50
ZN145,2 VESTIDO BORDADO 8,50,0,1,50
ZN143,2 VESTIDO BORDADO 8,50,0,1,50
ZN142,2 VESTIDO GUIPIR 8,50,0,1,50
ZN141,2 VESTIDO BORDADO 8,50,0,1,50
ZN140,2 VESTIDO BORDADO 8,50,0,1,50
ZN139,2 VESTIDO BORDADO 8,50,0,1,50
ZN138,2 VESTIDO BORDADO 8,50,0,1,50
ZN133,2 VESTIDO BORDADO 8,50,0,1,50
ZN132,2 VESTIDO BORDADO 8,50,0,1,50
ZN130,2 VESTIDO BORDADO 8,50,0,1,50
ZN129,2 VESTIDO BORDADO 8,50,0,1,50
ZN128,2 VESTIDO BORDADO 8,50,0,1,50
ZN126,2 VESTIDO BORDADO 8,50,0,1,50
ZN123,2 VESTIDO BORDADO 8,50,0,1,50
ZN12,2 VESTIDO BORDADO 8,50,0,1,50
ZN119,2 VESTIDO BORDADO 8,50,0,1,50
ZN118,2 VESTIDO BORDADO 8,50,0,1,50
ZN112,2 VESTIDO BORDADO 8,50,0,1,50
ZN110,2 VESTIDO BORDADO 8,50,0,1,50
ZN106,2 VESTIDO BORDADO 8,50,0,1,50
ZN100,2 VESTIDO BORDADO 8,50,0,1,50
ZN10,2 VESTIDO BORDADO 8,50,0,1,50
ZN08,2 VESTIDO GUIPIR 8,50,0,1,50
LP03,2 VESTIDO BORDADO 8,50,0,1,50
LP02,2 VESTIDO BORDADO 8,50,0,1,50
FR06,2 VESTIDO RENDA 8,50,0,1,50
ZN49,2 VESTIDO BORDADO 8,50,0,1,50
ZN48,2 VESTIDO BORDADO 8,50,0,1,50
ZN43,2 VESTIDO GUIPIR 8,50,0,1,50
ZN42,2 VESTIDO GUIPIR 8,50,0,1,50
ZN41,2 VESTIDO GUIPIR 8,50,0,1,50
ZN40,2 VESTIDO GUIPIR 8,50,0,1,50
ZN38,2 VESTIDO GUIPIR 8,50,0,1,50
ZN37,2 VESTIDO GUIPIR 8,50,0,1,50
ZN35,VESTIDO GUIPIR,50,0,1,50
ZN33,2 VESTIDO GUIPIR 8,50,0,1,50
ZN29,2 VESTIDO 8,50,0,1,50
ZN28,2 VESTIDO GUIPIR 8,50,0,1,50
ZN27,2 VESTIDO GUIPIR 8,50,0,1,50
ZN26,2 VESTIDO GUIPIR 8,50,0,1,50
ZN25,2 VESTIDO GUIPIR 8,50,0,1,50
ZN23,2 VESTIDO GUIPIR 8,50,0,1,50
ZN222,2 VESTIDO  8,50,0,1,50
ZN22,2 VESTIDO GUIPIR 8,50,0,1,50
ZN212,2 VESTIDO BORDADO 8,50,0,1,50
ZN209,2 VESTIDO GUIPIR 8,50,0,1,50
ZN208,2 VESTIDO GUIPIR 8,50,0,1,50
ZN207,2 VESTIDO GUIPIR 8,50,0,1,50
ZN206,2 VESTIDO GUIPIR 8,50,0,1,50
ZN201,2 VESTIDO GUIPIR 8,50,0,1,50
ZN200,2 VESTIDO GUIPIR 8,50,0,1,50
