id;code;name;category_id;price;image;tax;cost;tax_method;quantity;barcode_symbology;type;details;alert_quantity
566;250093700111;RY111;8;50;;0;;1;64;ean13;standard;1 BLUSA LISA 8;20
567;280103700112;RY112;8;50;;0;;1;64;ean13;standard;1 BLUSA ESTAMPA 8;20
568;225103700113;RY113;8;45;;0;;1;64;ean13;standard;1 BLUSA ESTAMPA 8;20
569;230103700114;RY114;8;45;;0;;1;60;ean13;standard;1 BLUSA LISA 8;20
570;285103700115;RY115;8;50;;0;;1;29;ean13;standard;1 BLUSA ESTAMPA 8;20
571;230103700117;RY117;8;45;;0;;1;66;ean13;standard;1 BLUSA ESTAMPA 8;20
572;265103700118;RY118;8;55;;0;;1;19;ean13;standard;1 BLUSA 8;20
573;265103700119;RY119;8;50;;0;;1;24;ean13;standard;1 BLUSA 8;20
574;245113700012;RY12;A;25;;0;;1;25;ean13;standard;MANGA LOGNA;20
575;290103700120;RY120;8;55;;0;;1;25;ean13;standard;1 BLUSA LISA 8;20
576;270103700121;RY121;8;50;;0;;1;22;ean13;standard;1 BLUSA ESTAMPA 8;20
577;270103700122;RY122;8;50;;0;;1;22;ean13;standard;1 BLUSA ESTAMPA 8;20
578;215103700123;RY123;8;45;;0;;1;29;ean13;standard;1 BLUSA ESTAMPA 8;20
579;250103700124;RY124;8;50;;0;;1;27;ean13;standard;1 BLUSA ESTAMPA 8;20
580;245103700125;RY125;8;50;;0;;1;27;ean13;standard;1 BLUSA ESTAMPA 8;20
581;215103700126;RY126;8;45;;0;;1;1;ean13;standard;1 BLUSA ESTAMPA 8;20
582;260103700127;RY127;8;50;;0;;1;1;ean13;standard;1 BLUSA ESTAMPA 8;20
583;230103700128;RY128;8;45;;0;;1;28;ean13;standard;1 BLUSA ESTAMPA 8;20
584;290103700129;RY129;8;50;;0;;1;7;ean13;standard;1 BLUSA ESTAMPA 8;20
585;285103700130;RY130;8;50;;0;;1;91;ean13;standard;1 BLUSA ESTAMPA 8;20
586;290103700131;RY131;8;50;;0;;1;8;ean13;standard;1 BLUSA LISA 8;20
587;295103700132;RY132;8;50;;0;;1;40;ean13;standard;1 BLUSA ESTAMPA 8;20
588;290103700133;RY133;8;50;;0;;1;24;ean13;standard;1 BLUSA ESTAMPA 8;20
589;285103700134;RY134;8;50;;0;;1;41;ean13;standard;1 BLUSA ESTAMPA 8;20
590;290103700135;RY135;8;50;;0;;1;41;ean13;standard;1 BLUSA ESTAMPA 8;20
591;255103700136;RY136;7;50;;0;;1;41;ean13;standard;1 BLUSA MANGA LONGA 7;20
592;240103700137;RY137;7;50;;0;;1;99;ean13;standard;1 BLUSA LISA  7;20
593;290113700138;RY138;8;50;;0;;1;99;ean13;standard;1 BLUSA MANGA LONGA 8;20
594;255113700139;RY139;8;50;;0;;1;53;ean13;standard;1 BLUSA ESTAMPA 8;20
